item,condition,word_position,word,region,stor
29,SR,1,The,THE,0.0
29,SR,2,chef,N1,22.228754872295603
29,SR,3,who,WHO,24.35635499784182
29,SR,4,stopped,V2,25.697025802655347
29,SR,5,the,THE,17.917306319377275
29,SR,6,neighbor,N2,19.32382919521484
29,SR,7,ignored,V1,15.209793507829154
29,SR,8,the,THE,3.3987489564829145
29,SR,9,student,N3,0.6728570783746768
29,OR,1,The,THE,0.0
29,OR,2,chef,N1,22.228754872295603
29,OR,3,who,WHO,24.35635499784182
29,OR,4,the,THE,25.697025802655347
29,OR,5,neighbor,N2,35.79034894795404
29,OR,6,stopped,V2,28.625656493439465
29,OR,7,ignored,V1,16.643720916172793
29,OR,8,the,THE,6.030852830702401
29,OR,9,student,N3,0.6565592356789158
30,SR,1,The,THE,0.0
30,SR,2,driver,N1,22.228754872295603
30,SR,3,who,WHO,34.60017138979536
30,SR,4,attacked,V2,22.21388937988562
30,SR,5,the,THE,35.257955498342156
30,SR,6,president,N2,28.610007577059147
30,SR,7,watched,V1,13.680306691256009
30,SR,8,the,THE,7.746438583063825
30,SR,9,senator,N3,2.241711937853936
30,OR,1,The,THE,0.0
30,OR,2,driver,N1,22.228754872295603
30,OR,3,who,WHO,34.60017138979536
30,OR,4,the,THE,22.21388937988562
30,OR,5,president,N2,40.30724522387066
30,OR,6,attacked,V2,34.1851258304508
30,OR,7,watched,V1,18.415065902758403
30,OR,8,the,THE,3.4755748736517664
30,OR,9,senator,N3,0.9545986856766835
